encoding,mb,px
coarsened,24.6091,-0.2238
coarsened,24.6361,-0.3323
coarsened,24.6631,-0.3961
coarsened,24.6900,0.3035
coarsened,24.7170,-0.2283
coarsened,24.7440,-0.1871
coarsened,24.7709,0.3686
coarsened,24.7979,-0.3118
coarsened,24.8249,0.2878
coarsened,24.8519,0.4359
coarsened,24.8788,0.5638
coarsened,24.9058,0.4338
coarsened,24.9328,0.3582
coarsened,24.9597,0.3766
coarsened,24.9867,-0.3648
coarsened,25.0137,0.1730
coarsened,25.0406,-0.2551
coarsened,25.0676,0.1585
coarsened,25.0946,-0.4772
coarsened,25.1215,-0.3704
coarsened,25.1485,0.2396
coarsened,25.1755,-0.2758
coarsened,25.2025,0.0290
coarsened,25.2294,0.3281
coarsened,25.2564,-0.4700
coarsened,25.2834,0.3015
coarsened,25.3103,0.0488
coarsened,25.3373,-0.2722
coarsened,25.3643,-0.3175
coarsened,25.3912,0.2898
coarsened,25.4182,0.3015
coarsened,25.4452,0.2618
coarsened,25.4721,-0.3840
coarsened,25.4991,-0.3301
coarsened,25.5261,0.4084
coarsened,25.5530,0.4350
coarsened,25.5800,0.2635
coarsened,25.6070,0.1578
coarsened,25.6340,-0.2140
coarsened,25.6609,-0.3014
coarsened,25.6879,0.1865
coarsened,25.7149,0.1918
coarsened,25.7418,0.2169
coarsened,25.7688,0.1368
coarsened,25.7958,0.4504
coarsened,25.8227,0.4293
coarsened,25.8497,0.4841
coarsened,25.8767,0.3621
coarsened,25.9036,0.2615
coarsened,25.9306,-0.2530
coarsened,25.9576,-0.2410
coarsened,25.9845,-0.4166
coarsened,26.0115,-0.2534
coarsened,26.0385,0.3078
coarsened,26.0655,-0.2092
coarsened,26.0924,0.3612
coarsened,26.1194,0.2856
coarsened,26.1464,-0.1667
coarsened,26.1733,0.3118
coarsened,26.2003,0.3181
coarsened,26.2273,-0.2889
coarsened,26.2542,0.4720
coarsened,26.2812,0.4561
coarsened,26.3082,-0.3898
coarsened,26.3351,0.1912
coarsened,26.3621,-0.4582
coarsened,26.3891,0.1850
coarsened,26.4161,-0.3148
coarsened,26.4430,-0.3639
coarsened,26.4700,0.4506
coarsened,26.4970,0.5485
coarsened,26.5239,0.0000
coarsened,26.5509,0.3060
coarsened,26.5779,-0.3336
coarsened,26.6048,-0.0055
coarsened,26.6318,0.2401
coarsened,26.6588,0.4887
coarsened,26.6857,-0.2187
coarsened,26.7127,0.3643
coarsened,26.7397,-0.3545
coarsened,26.7666,0.2265
coarsened,26.7936,0.2759
coarsened,26.8206,-0.3361
coarsened,26.8476,0.3613
coarsened,26.8745,-0.2088
coarsened,26.9015,-0.4394
coarsened,26.9285,-0.3253
coarsened,26.9554,-0.4932
coarsened,26.9824,0.2433
coarsened,27.0094,-0.2804
coarsened,27.0363,0.1886
coarsened,27.0633,-0.2437
coarsened,27.0903,0.1467
coarsened,27.1172,0.0000
coarsened,27.1442,0.0000
coarsened,27.1712,0.0000
coarsened,27.1982,0.0000
coarsened,27.2251,0.0000
coarsened,27.2521,0.0000
coarsened,27.2791,0.0000
coarsened,27.3060,0.0000
coarsened,27.3330,0.0000
coarsened,27.3600,0.0000
coarsened,27.3869,0.0000
coarsened,27.4139,-0.4463
coarsened,27.4409,0.1314
coarsened,27.4678,-0.0054
coarsened,27.4948,0.4536
coarsened,27.5218,0.0000
coarsened,27.5487,0.0000
coarsened,27.5757,0.0000
coarsened,27.6027,0.0000
coarsened,27.6297,0.0000
coarsened,27.6566,0.0000
coarsened,27.6836,0.0000
coarsened,27.7106,0.0000
coarsened,27.7375,0.0000
coarsened,27.7645,0.0000
coarsened,27.7915,0.0000
coarsened,27.8184,0.0000
coarsened,27.8454,0.0000
coarsened,27.8724,0.0000
coarsened,27.8993,0.0000
coarsened,27.9263,0.0000
coarsened,27.9533,0.0000
coarsened,27.9802,0.0000
coarsened,28.0072,0.0000
coarsened,28.0342,0.0000
coarsened,28.0612,0.0000
coarsened,28.0881,0.0000
coarsened,28.1151,0.0000
coarsened,28.1421,0.0000
coarsened,28.1690,0.0000
coarsened,28.1960,0.0000
coarsened,28.2230,0.0000
coarsened,28.2499,0.0000
coarsened,28.2769,0.0000
coarsened,28.3039,0.0000
coarsened,28.3308,0.0000
coarsened,28.3578,0.0000
coarsened,28.3848,0.0000
coarsened,28.4118,0.0000
coarsened,28.4387,0.0000
coarsened,28.4657,0.0000
coarsened,28.4927,0.0000
coarsened,28.5196,0.0000
coarsened,28.5466,0.0000
coarsened,28.5736,0.4107
coarsened,28.6005,-0.3519
coarsened,28.6275,0.2596
coarsened,28.6545,-0.2587
coarsened,28.6814,0.2348
coarsened,28.7084,0.3424
coarsened,28.7354,-0.2746
coarsened,28.7623,0.1856
coarsened,28.7893,0.3322
coarsened,28.8163,0.3814
coarsened,28.8433,0.1238
coarsened,28.8702,0.3664
coarsened,28.8972,-0.1777
coarsened,28.9242,0.4075
coarsened,28.9511,-0.4268
coarsened,28.9781,-0.4552
coarsened,29.0051,0.2003
coarsened,29.0320,-0.2983
coarsened,29.0590,0.1364
coarsened,29.0860,0.2783
coarsened,29.1129,-0.2610
coarsened,29.1399,0.5356
coarsened,29.1669,0.6632
coarsened,29.1939,0.3928
coarsened,29.2208,-0.0863
coarsened,29.2478,0.3026
coarsened,29.2748,-0.2766
coarsened,29.3017,0.0981
coarsened,29.3287,0.1295
coarsened,29.3557,-0.3276
coarsened,29.3826,0.1209
coarsened,29.4096,0.3566
coarsened,29.4366,0.2469
coarsened,29.4635,0.1510
coarsened,29.4905,-0.3527
coarsened,29.5175,-0.4374
coarsened,29.5444,0.3627
coarsened,29.5714,-0.2518
coarsened,29.5984,-0.5084
coarsened,29.6254,-0.3914
coarsened,29.6523,-0.2543
coarsened,29.6793,0.2100
coarsened,29.7063,0.2288
coarsened,29.7332,0.2377
coarsened,29.7602,0.4688
coarsened,29.7872,0.2396
coarsened,29.8141,-0.3137
coarsened,29.8411,0.4976
coarsened,29.8681,-0.2537
coarsened,29.8950,0.2527
coarsened,29.9220,0.1391
coarsened,29.9490,0.3636
coarsened,29.9759,-0.2683
coarsened,30.0029,-0.2121
coarsened,30.0299,0.2042
coarsened,30.0569,0.3159
coarsened,30.0838,-0.3072
coarsened,30.1108,-0.4235
coarsened,30.1378,0.3278
coarsened,30.1647,0.2743
coarsened,30.1917,-0.3040
coarsened,30.2187,0.1106
coarsened,30.2456,-0.3181
coarsened,30.2726,-0.2143
coarsened,30.2996,-0.3413
coarsened,30.3265,0.2519
coarsened,30.3535,-0.3675
coarsened,30.3805,0.3004
coarsened,30.4075,0.2667
coarsened,30.4344,0.2844
coarsened,30.4614,0.3681
coarsened,30.4884,0.3634
coarsened,30.5153,0.7174
coarsened,30.5423,-0.4659
coarsened,30.5693,-0.3081
coarsened,30.5962,0.3395
coarsened,30.6232,-0.2210
coarsened,30.6502,-0.2218
coarsened,30.6771,0.3964
coarsened,30.7041,0.3213
coarsened,30.7311,0.4444
coarsened,30.7580,0.3578
coarsened,30.7850,-0.3416
coarsened,30.8120,0.3206
coarsened,30.8390,0.3177
coarsened,30.8659,0.2613
coarsened,30.8929,0.3774
coarsened,30.9199,-0.3019
coarsened,30.9468,-0.5789
coarsened,30.9738,0.4802
coarsened,31.0008,-0.1304
coarsened,31.0277,0.1777
coarsened,31.0547,0.1765
coarsened,31.0817,0.2159
coarsened,31.1086,0.0284
coarsened,31.1356,-0.2303
coarsened,31.1626,-0.3402
coarsened,31.1896,-0.3642
coarsened,31.2165,0.4790
coarsened,31.2435,0.3784
coarsened,31.2705,-0.3070
coarsened,31.2974,-0.2998
coarsened,31.3244,0.4806
coarsened,31.3514,0.4592
coarsened,31.3783,0.2631
coarsened,31.4053,-0.1689
coarsened,31.4323,-0.3220
coarsened,31.4592,-0.2391
coarsened,31.4862,0.1875
coarsened,31.5132,0.1932
coarsened,31.5401,-0.3171
coarsened,31.5671,0.2603
coarsened,31.5941,0.2731
coarsened,31.6211,-0.3947
coarsened,31.6480,-0.3520
coarsened,31.6750,0.3019
coarsened,31.7020,0.4420
coarsened,31.7289,0.5162
coarsened,31.7559,0.6941
coarsened,31.7829,0.6988
coarsened,31.8098,0.2560
coarsened,31.8368,0.2415
coarsened,31.8638,0.2320
coarsened,31.8907,0.3752
coarsened,31.9177,0.3475
coarsened,31.9447,0.2083
coarsened,31.9716,-0.3967
coarsened,31.9986,-0.2055
coarsened,32.0256,-0.0568
coarsened,32.0526,-0.2850
coarsened,32.0795,0.4231
coarsened,32.1065,0.3471
coarsened,32.1335,0.3327
coarsened,32.1604,-0.4810
coarsened,32.1874,0.2459
coarsened,32.2144,-0.3152
coarsened,32.2413,0.1622
coarsened,32.2683,0.3343
coarsened,32.2953,-0.3204
coarsened,32.3222,-0.4162
coarsened,32.3492,0.2720
coarsened,32.3762,0.2049
coarsened,32.4032,0.0000
coarsened,32.4301,-0.1776
coarsened,32.4571,0.1396
coarsened,32.4841,-0.3363
coarsened,32.5110,-0.2430
coarsened,32.5380,-0.1623
coarsened,32.5650,-0.2293
coarsened,32.5919,0.5743
coarsened,32.6189,0.2540
coarsened,32.6459,-0.2258
coarsened,32.6728,0.2968
coarsened,32.6998,0.2221
coarsened,32.7268,0.3518
coarsened,32.7537,-0.3950
coarsened,32.7807,-0.4399
coarsened,32.8077,-0.1822
coarsened,32.8347,-0.2136
coarsened,32.8616,0.3996
coarsened,32.8886,0.4096
coarsened,32.9156,-0.3934
coarsened,32.9425,0.1360
coarsened,32.9695,0.4095
coarsened,32.9965,0.3099
coarsened,33.0234,-0.4110
coarsened,33.0504,0.2251
coarsened,33.0774,0.2738
coarsened,33.1043,0.2280
coarsened,33.1313,-0.3184
coarsened,33.1583,0.2067
coarsened,33.1852,0.2675
coarsened,33.2122,0.4288
coarsened,33.2392,0.1906
coarsened,33.2662,0.2330
coarsened,33.2931,0.2378
coarsened,33.3201,0.4932
coarsened,33.3471,0.3133
coarsened,33.3740,0.3178
coarsened,33.4010,0.2700
coarsened,33.4280,-0.3221
coarsened,33.4549,0.3647
coarsened,33.4819,-0.3846
coarsened,33.5089,0.2457
coarsened,33.5358,-0.1842
coarsened,33.5628,-0.3532
coarsened,33.5898,0.2074
coarsened,33.6168,0.2094
coarsened,33.6437,0.1639
coarsened,33.6707,0.2339
coarsened,33.6977,0.3905
coarsened,33.7246,-0.5964
coarsened,33.7516,-0.5965
coarsened,33.7786,0.1997
coarsened,33.8055,0.3531
coarsened,33.8325,-0.3713
coarsened,33.8595,-0.2575
coarsened,33.8864,0.4877
coarsened,33.9134,0.4534
coarsened,33.9404,-0.2947
coarsened,33.9673,0.3052
coarsened,33.9943,0.4445
coarsened,34.0213,-0.0962
coarsened,34.0483,0.6710
coarsened,34.0752,0.2556
coarsened,34.1022,-0.4973
coarsened,34.1292,0.2690
coarsened,34.1561,0.3083
coarsened,34.1831,0.4523
coarsened,34.2101,0.3096
coarsened,34.2370,-0.2565
coarsened,34.2640,0.4462
coarsened,34.2910,-0.2614
coarsened,34.3179,0.1649
coarsened,34.3449,-0.4540
coarsened,34.3719,0.5337
coarsened,34.3989,0.4817
coarsened,34.4258,-0.2927
coarsened,34.4528,-0.2925
coarsened,34.4798,0.3240
coarsened,34.5067,0.1722
coarsened,34.5337,-0.2522
coarsened,34.5607,-0.4601
coarsened,34.5876,0.3297
coarsened,34.6146,0.1305
coarsened,34.6416,0.3696
coarsened,34.6685,-0.3758
coarsened,34.6955,0.2021
coarsened,34.7225,0.3832
coarsened,34.7494,-0.2873
coarsened,34.7764,-0.2155
coarsened,34.8034,0.3808
coarsened,34.8304,-0.2244
coarsened,34.8573,-0.1795
coarsened,34.8843,0.4300
coarsened,34.9113,-0.3910
coarsened,34.9382,0.2264
coarsened,34.9652,-0.2667
coarsened,34.9922,-0.3709
coarsened,35.0191,-0.4441
coarsened,35.0461,-0.3907
coarsened,35.0731,0.1846
coarsened,35.1000,0.2504
coarsened,35.1270,0.2198
coarsened,35.1540,0.3730
coarsened,35.1809,0.1580
coarsened,35.2079,-0.2097
coarsened,35.2349,-0.2321
coarsened,35.2619,0.2011
coarsened,35.2888,-0.3861
coarsened,35.3158,0.2564
coarsened,35.3428,-0.2912
coarsened,35.3697,0.2838
coarsened,35.3967,-0.0927
coarsened,35.4237,0.3919
coarsened,35.4506,0.2664
coarsened,35.4776,0.2613
coarsened,35.5046,0.1902
coarsened,35.5315,0.1529
coarsened,35.5585,0.1051
coarsened,35.5855,-0.1250
coarsened,35.6125,-0.4678
coarsened,35.6394,0.2486
coarsened,35.6664,0.4285
coarsened,35.6934,0.3859
coarsened,35.7203,0.2170
coarsened,35.7473,0.2280
coarsened,35.7743,0.2725
coarsened,35.8012,-0.3603
coarsened,35.8282,-0.2278
coarsened,35.8552,0.3151
coarsened,35.8821,0.2689
coarsened,35.9091,-0.2695
coarsened,35.9361,-0.3803
coarsened,35.9630,0.1583
coarsened,35.9900,-0.3060
coarsened,36.0170,0.1994
coarsened,36.0440,0.2186
coarsened,36.0709,0.2217
coarsened,36.0979,-0.2682
coarsened,36.1249,-0.3844
coarsened,36.1518,-0.3911
coarsened,36.1788,-0.3164
coarsened,36.2058,-0.4043
coarsened,36.2327,-0.3851
coarsened,36.2597,0.2470
coarsened,36.2867,-0.3746
coarsened,36.3136,0.4139
coarsened,36.3406,0.1166
coarsened,36.3676,0.4818
coarsened,36.3946,-0.4512
coarsened,36.4215,-0.1662
coarsened,36.4485,0.2911
coarsened,36.4755,-0.1576
coarsened,36.5024,0.1439
coarsened,36.5294,-0.3067
coarsened,36.5564,-0.4837
coarsened,36.5833,0.4023
coarsened,36.6103,0.3588
coarsened,36.6373,0.4489
coarsened,36.6642,0.3499
coarsened,36.6912,0.2694
coarsened,36.7182,0.1401
coarsened,36.7451,0.1594
coarsened,36.7721,0.2585
coarsened,36.7991,0.2556
coarsened,36.8261,0.2702
coarsened,36.8530,0.2575
coarsened,36.8800,0.1302
coarsened,36.9070,0.2330
coarsened,36.9339,0.1823
coarsened,36.9609,0.2305
coarsened,36.9879,-0.2418
coarsened,37.0148,0.0840
coarsened,37.0418,-0.5322
coarsened,37.0688,-0.2929
coarsened,37.0957,-0.2328
coarsened,37.1227,0.2569
coarsened,37.1497,-0.3942
coarsened,37.1766,-0.3107
coarsened,37.2036,0.2226
coarsened,37.2306,0.4521
coarsened,37.2576,0.1612
coarsened,37.2845,-0.3262
coarsened,37.3115,-0.4398
coarsened,37.3385,-0.3590
coarsened,37.3654,0.2643
coarsened,37.3924,-0.0143
coarsened,37.4194,-0.0573
coarsened,37.4463,-0.0335
coarsened,37.4733,-0.1194
coarsened,37.5003,0.3669
coarsened,37.5272,-0.2765
coarsened,37.5542,0.4888
coarsened,37.5812,0.5422
coarsened,37.6082,0.4218
coarsened,37.6351,-0.2252
coarsened,37.6621,0.3783
coarsened,37.6891,0.1283
coarsened,37.7160,0.3665
coarsened,37.7430,0.4507
coarsened,37.7700,0.2950
coarsened,37.7969,0.1627
coarsened,37.8239,0.1908
coarsened,37.8509,-0.3099
coarsened,37.8778,-0.3172
coarsened,37.9048,0.2694
coarsened,37.9318,-0.2454
coarsened,37.9587,0.1869
coarsened,37.9857,0.2037
coarsened,38.0127,0.1260
coarsened,38.0397,-0.4700
coarsened,38.0666,-0.3861
coarsened,38.0936,-0.3643
coarsened,38.1206,0.3705
coarsened,38.1475,0.4107
coarsened,38.1745,-0.3579
coarsened,38.2015,0.2956
coarsened,38.2284,-0.2419
coarsened,38.2554,-0.4779
coarsened,38.2824,-0.4572
coarsened,38.3093,-0.2783
coarsened,38.3363,-0.3057
coarsened,38.3633,0.2578
coarsened,38.3903,0.1834
coarsened,38.4172,-0.3969
coarsened,38.4442,-0.1636
coarsened,38.4712,0.1747
coarsened,38.4981,-0.1192
coarsened,38.5251,-0.3371
coarsened,38.5521,-0.1025
coarsened,38.5790,0.4165
coarsened,38.6060,0.3502
coarsened,38.6330,-0.2902
coarsened,38.6599,0.1817
coarsened,38.6869,0.1851
coarsened,38.7139,0.4351
coarsened,38.7408,-0.2257
coarsened,38.7678,-0.3861
coarsened,38.7948,0.3273
coarsened,38.8218,0.3625
coarsened,38.8487,0.4351
coarsened,38.8757,0.2040
coarsened,38.9027,-0.3999
coarsened,38.9296,0.3555
coarsened,38.9566,0.3492
coarsened,38.9836,-0.2589
coarsened,39.0105,-0.2771
coarsened,39.0375,0.4738
coarsened,39.0645,0.4716
coarsened,39.0914,-0.2455
coarsened,39.1184,-0.1130
coarsened,39.1454,0.2205
coarsened,39.1723,-0.3605
coarsened,39.1993,0.3159
coarsened,39.2263,-0.2771
coarsened,39.2533,-0.0919
coarsened,39.2802,0.4719
coarsened,39.3072,-0.2880
coarsened,39.3342,-0.2459
coarsened,39.3611,0.4901
coarsened,39.3881,0.0569
coarsened,39.4151,-0.3837
coarsened,39.4420,-0.1290
coarsened,39.4690,-0.3644
coarsened,39.4960,-0.2701
coarsened,39.5229,-0.3749
coarsened,39.5499,-0.2496
coarsened,39.5769,-0.3751
coarsened,39.6039,-0.1613
coarsened,39.6308,0.3309
coarsened,39.6578,0.2474
coarsened,39.6848,0.2284
coarsened,39.7117,-0.3387
coarsened,39.7387,-0.2568
coarsened,39.7657,0.2756
coarsened,39.7926,0.2819
coarsened,39.8196,0.0519
coarsened,39.8466,-0.4106
coarsened,39.8735,0.1290
coarsened,39.9005,0.5417
coarsened,39.9275,0.6022
coarsened,39.9544,0.3712
coarsened,39.9814,-0.2996
coarsened,40.0084,-0.1736
coarsened,40.0354,0.0834
coarsened,40.0623,-0.0114
coarsened,40.0893,-0.0768
coarsened,40.1163,-0.2991
coarsened,40.1432,-0.2513
coarsened,40.1702,0.1244
coarsened,40.1972,-0.2142
coarsened,40.2241,-0.4393
coarsened,40.2511,0.2072
coarsened,40.2781,-0.3697
coarsened,40.3050,-0.2797
coarsened,40.3320,0.3496
coarsened,40.3590,-0.3808
coarsened,40.3860,0.2365
coarsened,40.4129,0.3977
coarsened,40.4399,-0.3066
coarsened,40.4669,0.1680
coarsened,40.4938,-0.4497
coarsened,40.5208,0.1364
coarsened,40.5478,-0.5311
coarsened,40.5747,-0.2703
coarsened,40.6017,-0.4552
coarsened,40.6287,-0.4166
coarsened,40.6556,0.3017
coarsened,40.6826,0.3476
coarsened,40.7096,0.3930
coarsened,40.7365,-0.4033
coarsened,40.7635,0.1872
coarsened,40.7905,0.2543
coarsened,40.8175,0.3308
coarsened,40.8444,0.5082
coarsened,40.8714,0.4953
coarsened,40.8984,-0.2568
coarsened,40.9253,0.3055
coarsened,40.9523,-0.3486
coarsened,40.9793,0.3409
coarsened,41.0062,0.4565
coarsened,41.0332,0.3303
coarsened,41.0602,0.5014
coarsened,41.0871,-0.3826
coarsened,41.1141,0.4089
coarsened,41.1411,0.1619
coarsened,41.1680,0.3938
coarsened,41.1950,0.3992
coarsened,41.2220,0.4403
coarsened,41.2490,0.3171
coarsened,41.2759,0.4632
coarsened,41.3029,0.3732
coarsened,41.3299,0.4377
coarsened,41.3568,0.3206
coarsened,41.3838,0.4285
coarsened,41.4108,-0.4806
coarsened,41.4377,0.2930
coarsened,41.4647,-0.3001
coarsened,41.4917,0.1465
coarsened,41.5186,0.2721
coarsened,41.5456,0.1363
coarsened,41.5726,-0.2040
coarsened,41.5996,0.3895
coarsened,41.6265,-0.0645
coarsened,41.6535,-0.2511
coarsened,41.6805,0.3485
coarsened,41.7074,0.2505
coarsened,41.7344,-0.3615
coarsened,41.7614,0.2820
coarsened,41.7883,-0.3777
coarsened,41.8153,0.0681
coarsened,41.8423,0.0000
coarsened,41.8692,0.2147
coarsened,41.8962,0.1486
coarsened,41.9232,-0.2453
coarsened,41.9501,0.3231
coarsened,41.9771,-0.2633
coarsened,42.0041,-0.0744
coarsened,42.0311,-0.0812
coarsened,42.0580,-0.4501
coarsened,42.0850,-0.1856
coarsened,42.1120,-0.0811
coarsened,42.1389,-0.4000
coarsened,42.1659,0.1477
coarsened,42.1929,0.1891
coarsened,42.2198,0.0000
coarsened,42.2468,0.0000
coarsened,42.2738,0.0000
coarsened,42.3007,0.0000
coarsened,42.3277,0.0000
coarsened,42.3547,0.0000
coarsened,42.3816,0.0000
coarsened,42.4086,0.0000
coarsened,42.4356,0.0000
coarsened,42.4626,0.0000
coarsened,42.4895,0.0000
coarsened,42.5165,0.0000
coarsened,42.5435,0.0000
coarsened,42.5704,0.0000
coarsened,42.5974,0.0000
coarsened,42.6244,0.0000
coarsened,42.6513,0.0000
coarsened,42.6783,0.0000
coarsened,42.7053,0.0000
coarsened,42.7322,0.0000
coarsened,42.7592,0.0000
coarsened,42.7862,0.0000
coarsened,42.8132,0.0000
coarsened,42.8401,0.0000
coarsened,42.8671,0.0000
coarsened,42.8941,0.0000
coarsened,42.9210,0.1168
coarsened,42.9480,0.1393
coarsened,42.9750,-0.2138
coarsened,43.0019,-0.1587
coarsened,43.0289,0.4309
coarsened,43.0559,-0.2459
coarsened,43.0828,0.0613
coarsened,43.1098,0.0000
coarsened,43.1368,-0.0334
coarsened,43.1637,0.1789
coarsened,43.1907,0.4471
coarsened,43.2177,-0.3207
coarsened,43.2447,-0.3006
coarsened,43.2716,0.0414
coarsened,43.2986,0.2957
coarsened,43.3256,-0.1973
coarsened,43.3525,-0.2822
coarsened,43.3795,0.0000
coarsened,43.4065,0.0000
coarsened,43.4334,0.0000
coarsened,43.4604,-0.3219
coarsened,43.4874,-0.4003
coarsened,43.5143,-0.3224
coarsened,43.5413,0.3085
coarsened,43.5683,0.3186
coarsened,43.5953,0.4406
coarsened,43.6222,-0.1933
coarsened,43.6492,0.3277
coarsened,43.6762,-0.2832
coarsened,43.7031,-0.2936
coarsened,43.7301,0.6555
coarsened,43.7571,0.3272
coarsened,43.7840,0.3303
coarsened,43.8110,-0.4377
coarsened,43.8380,-0.3402
coarsened,43.8649,0.4142
coarsened,43.8919,-0.4483
coarsened,43.9189,-0.2085
coarsened,43.9458,0.4222
coarsened,43.9728,-0.4665
coarsened,43.9998,-0.3497
coarsened,44.0268,0.3170
coarsened,44.0537,0.1124
coarsened,44.0807,-0.3217
coarsened,44.1077,0.3528
coarsened,44.1346,0.0304
coarsened,44.1616,0.4940
coarsened,44.1886,0.3292
coarsened,44.2155,-0.3624
coarsened,44.2425,0.3276
coarsened,44.2695,-0.2064
coarsened,44.2964,0.2378
coarsened,44.3234,-0.1568
coarsened,44.3504,0.0904
coarsened,44.3773,-0.3183
coarsened,44.4043,0.0000
coarsened,44.4313,-0.1101
coarsened,44.4583,0.5546
coarsened,44.4852,-0.1646
coarsened,44.5122,0.3917
coarsened,44.5392,0.4154
coarsened,44.5661,-0.2119
coarsened,44.5931,0.0000
coarsened,44.6201,-0.0020
coarsened,44.6470,-0.2777
coarsened,44.6740,-0.0971
coarsened,44.7010,0.0000
coarsened,44.7279,0.2166
coarsened,44.7549,0.2762
coarsened,44.7819,0.2776
coarsened,44.8089,0.0860
coarsened,44.8358,0.2841
coarsened,44.8628,0.4289
coarsened,44.8898,0.3695
coarsened,44.9167,0.3332
coarsened,44.9437,-0.2358
coarsened,44.9707,0.2418
coarsened,44.9976,-0.4216
coarsened,45.0246,-0.3397
coarsened,45.0516,-0.0435
coarsened,45.0785,-0.1584
coarsened,45.1055,-0.1748
coarsened,45.1325,-0.1690
coarsened,45.1594,0.1034
coarsened,45.1864,0.4549
coarsened,45.2134,0.4163
coarsened,45.2404,0.4090
coarsened,45.2673,-0.1697
coarsened,45.2943,0.1500
coarsened,45.3213,-0.1803
coarsened,45.3482,-0.3106
coarsened,45.3752,-0.3412
coarsened,45.4022,0.3016
coarsened,45.4291,-0.3655
coarsened,45.4561,0.4377
coarsened,45.4831,-0.4325
coarsened,45.5100,-0.4311
coarsened,45.5370,-0.5441
coarsened,45.5640,0.4078
coarsened,45.5910,-0.4671
coarsened,45.6179,-0.3916
coarsened,45.6449,-0.1965
coarsened,45.6719,-0.3173
coarsened,45.6988,0.3103
coarsened,45.7258,0.3242
coarsened,45.7528,-0.3576
coarsened,45.7797,-0.1124
coarsened,45.8067,0.2703
coarsened,45.8337,-0.3201
coarsened,45.8606,-0.4205
coarsened,45.8876,-0.4260
coarsened,45.9146,0.1769
coarsened,45.9415,0.1205
coarsened,45.9685,0.1837
coarsened,45.9955,0.1228
coarsened,46.0225,-0.5151
coarsened,46.0494,0.1688
coarsened,46.0764,0.2140
coarsened,46.1034,0.3674
coarsened,46.1303,-0.3218
coarsened,46.1573,-0.1472
coarsened,46.1843,-0.2012
coarsened,46.2112,0.3887
coarsened,46.2382,0.2481
coarsened,46.2652,0.4761
coarsened,46.2921,-0.4145
coarsened,46.3191,-0.2334
coarsened,46.3461,0.1546
coarsened,46.3730,0.3101
coarsened,46.4000,0.2393
coarsened,46.4270,-0.1893
coarsened,46.4540,0.1787
coarsened,46.4809,0.3748
coarsened,46.5079,0.3014
coarsened,46.5349,0.3611
coarsened,46.5618,-0.2578
coarsened,46.5888,0.5347
coarsened,46.6158,-0.3177
coarsened,46.6427,0.3376
coarsened,46.6697,0.4043
coarsened,46.6967,-0.4919
coarsened,46.7236,-0.2946
coarsened,46.7506,0.0000
coarsened,46.7776,-0.2014
coarsened,46.8046,-0.3884
coarsened,46.8315,0.2777
coarsened,46.8585,0.4613
coarsened,46.8855,-0.3829
coarsened,46.9124,-0.1938
coarsened,46.9394,0.3047
coarsened,46.9664,-0.4002
coarsened,46.9933,-0.2370
coarsened,47.0203,0.2552
coarsened,47.0473,0.4101
coarsened,47.0742,-0.4158
coarsened,47.1012,0.2362
coarsened,47.1282,0.3583
coarsened,47.1551,0.1681
coarsened,47.1821,0.3021
coarsened,47.2091,0.1289
coarsened,47.2361,0.4556
coarsened,47.2630,-0.2101
coarsened,47.2900,-0.3431
coarsened,47.3170,0.2853
coarsened,47.3439,0.2201
coarsened,47.3709,0.3269
coarsened,47.3979,-0.3415
coarsened,47.4248,-0.1880
coarsened,47.4518,0.2843
coarsened,47.4788,0.8665
coarsened,47.5057,0.2504
coarsened,47.5327,0.3138
coarsened,47.5597,0.2307
coarsened,47.5867,0.4137
coarsened,47.6136,0.1916
coarsened,47.6406,0.3199
coarsened,47.6676,0.1832
coarsened,47.6945,0.0000
coarsened,47.7215,0.5357
coarsened,47.7485,0.2124
coarsened,47.7754,-0.2528
coarsened,47.8024,-0.3347
coarsened,47.8294,0.2762
coarsened,47.8563,0.4057
coarsened,47.8833,0.3763
coarsened,47.9103,0.3337
coarsened,47.9372,-0.2550
coarsened,47.9642,0.4523
coarsened,47.9912,0.2178
coarsened,48.0182,0.2233
coarsened,48.0451,-0.4611
coarsened,48.0721,0.4214
coarsened,48.0991,-0.2622
coarsened,48.1260,0.3231
coarsened,48.1530,0.2294
coarsened,48.1800,0.3689
coarsened,48.2069,0.3782
coarsened,48.2339,-0.1140
coarsened,48.2609,0.2009
coarsened,48.2878,0.3290
coarsened,48.3148,-0.2363
coarsened,48.3418,-0.3963
coarsened,48.3687,-0.4054
coarsened,48.3957,0.2129
coarsened,48.4227,0.2851
coarsened,48.4497,0.2081
coarsened,48.4766,0.0891
coarsened,48.5036,0.3188
coarsened,48.5306,0.4423
coarsened,48.5575,0.1535
coarsened,48.5845,0.4493
coarsened,48.6115,0.2157
coarsened,48.6384,-0.1775
coarsened,48.6654,0.2195
coarsened,48.6924,-0.1761
coarsened,48.7193,0.1987
coarsened,48.7463,-0.2434
coarsened,48.7733,-0.3500
coarsened,48.8003,0.1557
coarsened,48.8272,-0.3235
coarsened,48.8542,-0.3120
coarsened,48.8812,-0.4756
coarsened,48.9081,0.3975
coarsened,48.9351,-0.4128
coarsened,48.9621,-0.4055
coarsened,48.9890,0.4158
coarsened,49.0160,0.2769
coarsened,49.0430,-0.1755
coarsened,49.0699,-0.2594
coarsened,49.0969,-0.4083
